year,gender,name,count
2002,F,MARIA,9037
2002,F,LUCIA,7863
2002,F,PAULA,6066
2002,F,LAURA,5656
2002,F,MARTA,4747
2002,F,ALBA,4705
2002,F,ANDREA,4516
2002,F,SARA,3585
2002,F,ANA,3454
2002,F,NEREA,3239
2002,F,CLAUDIA,2992
2002,F,CRISTINA,2687
2002,F,MARINA,2685
2002,F,ELENA,2486
2002,F,IRENE,2373
2002,F,NATALIA,2331
2002,F,CARLA,2246
2002,F,CARMEN,2091
2002,F,NURIA,1904
2002,F,AINHOA,1663
2002,F,PATRICIA,1633
2002,F,JULIA,1613
2002,F,ANGELA,1547
2002,F,ROCIO,1540
2002,F,SANDRA,1508
2002,F,RAQUEL,1477
2002,F,SOFIA,1430
2002,F,ALICIA,1269
2002,F,CLARA,1249
2002,F,NOELIA,1247
2002,F,MIRIAM,1179
2002,F,ALEJANDRA,1177
2002,F,EVA,1165
2002,F,ISABEL,1152
2002,F,SILVIA,1138
2002,F,CELIA,1111
2002,F,LORENA,1103
2002,F,INES,1096
2002,F,BEATRIZ,929
2002,F,MIREIA,900
2002,F,LAIA,890
2002,F,LIDIA,884
2002,F,CARLOTA,861
2002,F,BLANCA,860
2002,F,ARIADNA,815
2002,F,ADRIANA,811
2002,F,ANNA,807
2002,F,CAROLINA,793
2002,F,MONICA,766
2002,F,ANA MARIA,749
2002,F,VERONICA,687
2002,F,VICTORIA,683
2002,F,AITANA,682
2002,F,ESTHER,677
2002,F,JUDITH,637
2002,F,GISELA,619
2002,F,SONIA,574
2002,F,LARA,562
2002,F,MAR,553
2002,F,DANIELA,539
2002,F,EMMA,525
2002,F,AIDA,522
2002,F,AROA,516
2002,F,BELEN,508
2002,F,HELENA,502
2002,F,AINA,497
2002,F,LEIRE,494
2002,F,TERESA,489
2002,F,AINARA,475
2002,F,JUDIT,460
2002,F,PAOLA,454
2002,F,YAIZA,447
2002,F,SHEILA,442
2002,F,MARIA DEL CARMEN,438
2002,F,BERTA,424
2002,F,FATIMA,421
2002,F,NOEMI,419
2002,F,AINOA,415
2002,F,PALOMA,410
2002,F,NAIARA,409
2002,F,MARIA JOSE,405
2002,F,GEMA,401
2002,F,TANIA,396
2002,F,REBECA,394
2002,F,ERIKA,390
2002,F,ZAIRA,388
2002,F,ANE,387
2002,F,MARTINA,361
2002,F,SUSANA,355
2002,F,ELISA,351
2002,F,ALBA MARIA,347
2002,F,SALMA,346
2002,F,PILAR,345
2002,F,CANDELA,343
2002,F,NADIA,336
2002,F,ESTELA,334
2002,F,VALERIA,334
2002,F,JENNIFER,307
2002,F,IRATI,303
2002,F,INMACULADA,299
2002,M,ALEJANDRO,8147
2002,M,PABLO,5930
2002,M,DANIEL,5700
2002,M,DAVID,5524
2002,M,ADRIAN,5043
2002,M,JAVIER,5018
2002,M,ALVARO,4678
2002,M,SERGIO,3824
2002,M,CARLOS,3668
2002,M,JORGE,2931
2002,M,MARIO,2918
2002,M,RAUL,2778
2002,M,DIEGO,2746
2002,M,MANUEL,2740
2002,M,MIGUEL,2684
2002,M,IVAN,2681
2002,M,ANTONIO,2561
2002,M,JUAN,2362
2002,M,RUBEN,2238
2002,M,VICTOR,2129
2002,M,ALBERTO,2017
2002,M,JESUS,1901
2002,M,MARC,1886
2002,M,OSCAR,1858
2002,M,ANGEL,1790
2002,M,FRANCISCO,1764
2002,M,JOSE,1678
2002,M,ALEX,1643
2002,M,MARCOS,1600
2002,M,JAIME,1453
2002,M,ISMAEL,1402
2002,M,LUIS,1365
2002,M,FRANCISCO JAVIER,1317
2002,M,MIGUEL ANGEL,1316
2002,M,PEDRO,1291
2002,M,SAMUEL,1247
2002,M,CRISTIAN,1220
2002,M,PAU,1219
2002,M,ANDRES,1199
2002,M,IKER,1197
2002,M,JOSE ANTONIO,1196
2002,M,GUILLERMO,1178
2002,M,IGNACIO,1174
2002,M,RAFAEL,1166
2002,M,FERNANDO,1158
2002,M,JOSE MANUEL,1142
2002,M,NICOLAS,1050
2002,M,GONZALO,1031
2002,M,GABRIEL,1026
2002,M,HUGO,973
2002,M,JOEL,963
2002,M,JOAN,947
2002,M,AARON,915
2002,M,AITOR,881
2002,M,POL,874
2002,M,ENRIQUE,869
2002,M,EDUARDO,823
2002,M,JOSE LUIS,811
2002,M,RODRIGO,795
2002,M,ARNAU,789
2002,M,JORDI,779
2002,M,ROBERTO,767
2002,M,JUAN JOSE,760
2002,M,SANTIAGO,745
2002,M,JUAN MANUEL,698
2002,M,CHRISTIAN,695
2002,M,JOSE MARIA,688
2002,M,ERIC,666
2002,M,LUCAS,661
2002,M,GERARD,636
2002,M,HECTOR,628
2002,M,JUAN CARLOS,619
2002,M,SERGI,615
2002,M,MARTIN,611
2002,M,UNAI,588
2002,M,JUAN ANTONIO,587
2002,M,KEVIN,543
2002,M,ADRIA,542
2002,M,FRANCISCO JOSE,537
2002,M,ASIER,533
2002,M,XAVIER,533
2002,M,ALBERT,526
2002,M,JOAQUIN,504
2002,M,ORIOL,498
2002,M,BORJA,497
2002,M,MIKEL,482
2002,M,MOHAMED,480
2002,M,JONATHAN,469
2002,M,JON,464
2002,M,GUILLEM,454
2002,M,ALFONSO,453
2002,M,RICARDO,424
2002,M,CESAR,418
2002,M,ISAAC,403
2002,M,RAMON,400
2002,M,ANDER,390
2002,M,JOSE MIGUEL,390
2002,M,MARCO,382
2002,M,SALVADOR,359
2002,M,MARTI,352
2003,F,LUCIA,9443
2003,F,MARIA,9131
2003,F,PAULA,7331
2003,F,LAURA,5683
2003,F,MARTA,4829
2003,F,ANDREA,4667
2003,F,ALBA,4488
2003,F,SARA,3472
2003,F,CLAUDIA,3415
2003,F,ANA,3307
2003,F,NEREA,3234
2003,F,CARLA,2730
2003,F,ELENA,2525
2003,F,CRISTINA,2470
2003,F,NATALIA,2323
2003,F,MARINA,2307
2003,F,AINHOA,2289
2003,F,IRENE,2280
2003,F,CARMEN,2174
2003,F,NURIA,1816
2003,F,JULIA,1807
2003,F,ANGELA,1666
2003,F,SOFIA,1618
2003,F,ROCIO,1589
2003,F,SANDRA,1455
2003,F,NOELIA,1430
2003,F,ALEJANDRA,1428
2003,F,PATRICIA,1369
2003,F,RAQUEL,1342
2003,F,CLARA,1337
2003,F,CELIA,1237
2003,F,ALICIA,1227
2003,F,SILVIA,1189
2003,F,INES,1168
2003,F,MIRIAM,1154
2003,F,ISABEL,1125
2003,F,EVA,1112
2003,F,LORENA,1035
2003,F,LAIA,1014
2003,F,BEATRIZ,939
2003,F,CARLOTA,891
2003,F,CAROLINA,885
2003,F,DANIELA,871
2003,F,LIDIA,835
2003,F,ARIADNA,827
2003,F,BLANCA,824
2003,F,ANNA,789
2003,F,ADRIANA,777
2003,F,AITANA,762
2003,F,JUDITH,758
2003,F,MONICA,754
2003,F,MIREIA,753
2003,F,AINARA,675
2003,F,ANA MARIA,665
2003,F,LARA,648
2003,F,VICTORIA,642
2003,F,MAR,638
2003,F,ESTHER,603
2003,F,NAIARA,602
2003,F,CANDELA,600
2003,F,AROA,579
2003,F,SONIA,576
2003,F,PAOLA,575
2003,F,AINA,569
2003,F,TERESA,565
2003,F,EMMA,552
2003,F,LEIRE,539
2003,F,VERONICA,508
2003,F,BELEN,503
2003,F,AIDA,491
2003,F,MARIA DEL CARMEN,486
2003,F,YAIZA,484
2003,F,MARTINA,477
2003,F,BERTA,476
2003,F,JUDIT,475
2003,F,SHEILA,474
2003,F,ERIKA,472
2003,F,GISELA,467
2003,F,NOA,460
2003,F,NOEMI,450
2003,F,HELENA,448
2003,F,FATIMA,442
2003,F,DESIREE,436
2003,F,SALMA,414
2003,F,REBECA,413
2003,F,ANE,403
2003,F,VALERIA,403
2003,F,ZAIRA,390
2003,F,NORA,382
2003,F,MARIA JOSE,377
2003,F,PALOMA,371
2003,F,TANIA,371
2003,F,NADIA,351
2003,F,IRATI,344
2003,F,DIANA,340
2003,F,ELISA,340
2003,F,GEMA,340
2003,F,SUSANA,335
2003,F,NAYARA,334
2003,F,GABRIELA,333
2003,M,ALEJANDRO,7869
2003,M,DANIEL,6265
2003,M,PABLO,6225
2003,M,DAVID,5907
2003,M,JAVIER,4903
2003,M,ADRIAN,4860
2003,M,ALVARO,4583
2003,M,SERGIO,3782
2003,M,CARLOS,3616
2003,M,HUGO,3223
2003,M,MARIO,3092
2003,M,JORGE,3008
2003,M,DIEGO,2993
2003,M,IVAN,2993
2003,M,RAUL,2902
2003,M,MANUEL,2882
2003,M,MIGUEL,2818
2003,M,ANTONIO,2522
2003,M,RUBEN,2364
2003,M,JUAN,2177
2003,M,VICTOR,2123
2003,M,MARCOS,2110
2003,M,MARC,2069
2003,M,ALBERTO,2055
2003,M,JESUS,1891
2003,M,ALEX,1846
2003,M,OSCAR,1712
2003,M,ANGEL,1708
2003,M,FRANCISCO,1677
2003,M,IKER,1601
2003,M,JOSE,1582
2003,M,ISMAEL,1430
2003,M,JAIME,1405
2003,M,SAMUEL,1385
2003,M,PAU,1367
2003,M,MIGUEL ANGEL,1338
2003,M,LUIS,1336
2003,M,PEDRO,1329
2003,M,IGNACIO,1235
2003,M,RAFAEL,1206
2003,M,FRANCISCO JAVIER,1189
2003,M,FERNANDO,1167
2003,M,NICOLAS,1161
2003,M,GUILLERMO,1148
2003,M,CRISTIAN,1126
2003,M,JOSE ANTONIO,1123
2003,M,JOEL,1095
2003,M,ANDRES,1090
2003,M,JOSE MANUEL,1074
2003,M,GONZALO,1067
2003,M,GABRIEL,1058
2003,M,JOAN,1007
2003,M,LUCAS,981
2003,M,ENRIQUE,942
2003,M,POL,931
2003,M,AITOR,925
2003,M,AARON,898
2003,M,RODRIGO,861
2003,M,ARNAU,841
2003,M,SANTIAGO,820
2003,M,EDUARDO,807
2003,M,JORDI,796
2003,M,ROBERTO,796
2003,M,ERIC,791
2003,M,JUAN JOSE,761
2003,M,JOSE LUIS,744
2003,M,UNAI,719
2003,M,HECTOR,686
2003,M,MARTIN,663
2003,M,GERARD,657
2003,M,JOSE MARIA,646
2003,M,SERGI,632
2003,M,JUAN CARLOS,621
2003,M,JUAN MANUEL,608
2003,M,JUAN ANTONIO,580
2003,M,ADRIA,578
2003,M,ASIER,560
2003,M,MOHAMED,551
2003,M,KEVIN,542
2003,M,CHRISTIAN,537
2003,M,ORIOL,536
2003,M,BORJA,529
2003,M,FRANCISCO JOSE,510
2003,M,ALBERT,498
2003,M,JONATHAN,495
2003,M,JOAQUIN,489
2003,M,MIKEL,476
2003,M,XAVIER,475
2003,M,ALFONSO,461
2003,M,JON,457
2003,M,MARCO,447
2003,M,RICARDO,440
2003,M,ISAAC,436
2003,M,CESAR,426
2003,M,ANDER,422
2003,M,IZAN,417
2003,M,GUILLEM,405
2003,M,ABEL,397
2003,M,MARTI,397
2003,M,DARIO,387
2004,F,LUCIA,10569
2004,F,MARIA,8040
2004,F,PAULA,7293
2004,F,LAURA,5775
2004,F,MARTA,4703
2004,F,ALBA,4329
2004,F,ANDREA,4242
2004,F,CLAUDIA,3448
2004,F,SARA,3253
2004,F,NEREA,3184
2004,F,CARLA,3036
2004,F,ANA,3009
2004,F,NATALIA,2583
2004,F,CRISTINA,2285
2004,F,IRENE,2273
2004,F,MARINA,2266
2004,F,ELENA,2244
2004,F,CARMEN,2202
2004,F,JULIA,2141
2004,F,AINHOA,2060
2004,F,ROCIO,1743
2004,F,SOFIA,1743
2004,F,ANGELA,1691
2004,F,NURIA,1588
2004,F,ALEJANDRA,1545
2004,F,SANDRA,1349
2004,F,ALICIA,1278
2004,F,PATRICIA,1271
2004,F,CLARA,1264
2004,F,CELIA,1261
2004,F,EVA,1235
2004,F,INES,1223
2004,F,NOELIA,1207
2004,F,DANIELA,1202
2004,F,LAIA,1175
2004,F,RAQUEL,1172
2004,F,SILVIA,1077
2004,F,ISABEL,1061
2004,F,LORENA,1044
2004,F,MIRIAM,1003
2004,F,ADRIANA,995
2004,F,BLANCA,972
2004,F,ARIADNA,945
2004,F,AITANA,909
2004,F,AROA,903
2004,F,CANDELA,869
2004,F,CAROLINA,847
2004,F,BEATRIZ,831
2004,F,CARLOTA,821
2004,F,AINARA,792
2004,F,VICTORIA,761
2004,F,MIREIA,744
2004,F,ANNA,741
2004,F,LIDIA,735
2004,F,JUDITH,694
2004,F,MARTINA,682
2004,F,MONICA,677
2004,F,MAR,674
2004,F,LARA,657
2004,F,NAIARA,650
2004,F,ERIKA,627
2004,F,ANA MARIA,626
2004,F,AINA,618
2004,F,EMMA,593
2004,F,ESTHER,593
2004,F,YAIZA,593
2004,F,PAOLA,590
2004,F,LEIRE,547
2004,F,HELENA,542
2004,F,SONIA,510
2004,F,SHEILA,505
2004,F,BERTA,494
2004,F,REBECA,493
2004,F,GISELA,484
2004,F,JUDIT,477
2004,F,NOA,461
2004,F,TERESA,458
2004,F,FATIMA,438
2004,F,BELEN,433
2004,F,NORA,433
2004,F,VERONICA,430
2004,F,NAYARA,426
2004,F,GABRIELA,425
2004,F,JIMENA,422
2004,F,LOLA,418
2004,F,DESIREE,404
2004,F,ELSA,400
2004,F,SALMA,400
2004,F,VALERIA,399
2004,F,MARIA DEL CARMEN,395
2004,F,ABRIL,391
2004,F,ESTELA,387
2004,F,LEYRE,384
2004,F,NOEMI,381
2004,F,IRIA,375
2004,F,GEMA,374
2004,F,ANE,372
2004,F,IRATI,366
2004,F,NADIA,360
2004,F,LUNA,355
2004,M,ALEJANDRO,7503
2004,M,DAVID,6370
2004,M,DANIEL,6171
2004,M,PABLO,6110
2004,M,ADRIAN,4816
2004,M,ALVARO,4707
2004,M,JAVIER,4674
2004,M,SERGIO,3831
2004,M,CARLOS,3371
2004,M,MARCOS,3157
2004,M,IVAN,3143
2004,M,HUGO,3138
2004,M,MARIO,2956
2004,M,JORGE,2936
2004,M,DIEGO,2905
2004,M,MIGUEL,2717
2004,M,MANUEL,2689
2004,M,RAUL,2606
2004,M,RUBEN,2458
2004,M,ANTONIO,2380
2004,M,JUAN,2253
2004,M,ALEX,2069
2004,M,VICTOR,2067
2004,M,MARC,2008
2004,M,ALBERTO,1888
2004,M,JESUS,1714
2004,M,IKER,1712
2004,M,ANGEL,1709
2004,M,FRANCISCO,1687
2004,M,OSCAR,1584
2004,M,JOSE,1572
2004,M,SAMUEL,1492
2004,M,JAIME,1486
2004,M,ISMAEL,1414
2004,M,PAU,1412
2004,M,NICOLAS,1381
2004,M,LUIS,1286
2004,M,MIGUEL ANGEL,1284
2004,M,PEDRO,1261
2004,M,GONZALO,1249
2004,M,IGNACIO,1240
2004,M,GUILLERMO,1230
2004,M,RAFAEL,1203
2004,M,GABRIEL,1195
2004,M,JOEL,1168
2004,M,FERNANDO,1149
2004,M,FRANCISCO JAVIER,1122
2004,M,LUCAS,1083
2004,M,CRISTIAN,1068
2004,M,AARON,1029
2004,M,ANDRES,1027
2004,M,JOSE ANTONIO,1024
2004,M,POL,1004
2004,M,RODRIGO,1000
2004,M,JOAN,994
2004,M,HECTOR,982
2004,M,JOSE MANUEL,982
2004,M,AITOR,968
2004,M,ARNAU,883
2004,M,SANTIAGO,869
2004,M,ENRIQUE,864
2004,M,IZAN,849
2004,M,ROBERTO,812
2004,M,ERIC,777
2004,M,EDUARDO,760
2004,M,JORDI,757
2004,M,MARTIN,717
2004,M,UNAI,699
2004,M,ASIER,688
2004,M,JOSE LUIS,685
2004,M,JUAN JOSE,661
2004,M,SERGI,659
2004,M,ADRIA,649
2004,M,MOHAMED,648
2004,M,GERARD,637
2004,M,KEVIN,617
2004,M,JUAN MANUEL,610
2004,M,JOSE MARIA,592
2004,M,MARCO,583
2004,M,BORJA,579
2004,M,ORIOL,558
2004,M,CHRISTIAN,547
2004,M,JUAN CARLOS,536
2004,M,YERAY,528
2004,M,JUAN ANTONIO,521
2004,M,XAVIER,502
2004,M,ISAAC,494
2004,M,FRANCISCO JOSE,486
2004,M,JON,473
2004,M,JOAQUIN,472
2004,M,CESAR,467
2004,M,GUILLEM,467
2004,M,ALBERT,454
2004,M,MARTI,449
2004,M,JONATHAN,447
2004,M,MIKEL,438
2004,M,MATEO,436
2004,M,DARIO,434
2004,M,RICARDO,430
2004,M,ALFONSO,427
2005,F,LUCIA,10358
2005,F,MARIA,7983
2005,F,PAULA,6831
2005,F,LAURA,5402
2005,F,MARTA,4721
2005,F,ALBA,4057
2005,F,CLAUDIA,4025
2005,F,CARLA,3720
2005,F,ANDREA,3529
2005,F,SARA,3414
2005,F,NEREA,3096
2005,F,IRENE,2878
2005,F,ANA,2770
2005,F,NATALIA,2640
2005,F,JULIA,2471
2005,F,ELENA,2329
2005,F,CARMEN,2302
2005,F,SOFIA,2261
2005,F,MARINA,2071
2005,F,CRISTINA,1983
2005,F,AINHOA,1921
2005,F,ROCIO,1787
2005,F,ANGELA,1725
2005,F,DANIELA,1717
2005,F,ALEJANDRA,1596
2005,F,NURIA,1471
2005,F,AITANA,1462
2005,F,SANDRA,1406
2005,F,INES,1309
2005,F,LAIA,1234
2005,F,ALICIA,1182
2005,F,CANDELA,1180
2005,F,RAQUEL,1148
2005,F,PATRICIA,1147
2005,F,ADRIANA,1135
2005,F,CELIA,1128
2005,F,EVA,1124
2005,F,CLARA,1120
2005,F,ARIADNA,1075
2005,F,NOELIA,1070
2005,F,SILVIA,1022
2005,F,CARLOTA,978
2005,F,MARTINA,976
2005,F,BLANCA,974
2005,F,CAROLINA,973
2005,F,ISABEL,971
2005,F,MIRIAM,924
2005,F,LORENA,854
2005,F,NOA,851
2005,F,AINARA,830
2005,F,BEATRIZ,810
2005,F,VICTORIA,774
2005,F,AROA,772
2005,F,LIDIA,769
2005,F,MIREIA,767
2005,F,EMMA,728
2005,F,MAR,717
2005,F,NAIARA,701
2005,F,HELENA,673
2005,F,JUDITH,668
2005,F,ANNA,620
2005,F,AINA,614
2005,F,ERIKA,612
2005,F,LARA,597
2005,F,YAIZA,588
2005,F,PAOLA,576
2005,F,LEIRE,572
2005,F,MONICA,565
2005,F,BERTA,562
2005,F,DIANA,557
2005,F,JIMENA,555
2005,F,ANA MARIA,547
2005,F,ESTHER,536
2005,F,NAYARA,531
2005,F,NORA,528
2005,F,LOLA,520
2005,F,ABRIL,503
2005,F,JUDIT,487
2005,F,GABRIELA,484
2005,F,TERESA,477
2005,F,VALERIA,476
2005,F,TANIA,475
2005,F,ELSA,473
2005,F,REBECA,463
2005,F,GISELA,461
2005,F,BELEN,458
2005,F,LUNA,454
2005,F,SALMA,450
2005,F,FATIMA,448
2005,F,SHEILA,444
2005,F,SARAY,439
2005,F,SONIA,417
2005,F,MARIA DEL CARMEN,415
2005,F,NOEMI,405
2005,F,YANIRA,401
2005,F,VERONICA,393
2005,F,NADIA,391
2005,F,IRIA,383
2005,F,GEMA,382
2005,F,AFRICA,379
2005,M,ALEJANDRO,7312
2005,M,DANIEL,6579
2005,M,PABLO,6413
2005,M,DAVID,6134
2005,M,ADRIAN,4902
2005,M,JAVIER,4708
2005,M,ALVARO,4465
2005,M,SERGIO,3724
2005,M,CARLOS,3312
2005,M,MARCOS,3209
2005,M,IVAN,3174
2005,M,HUGO,3102
2005,M,DIEGO,2949
2005,M,JORGE,2890
2005,M,MIGUEL,2836
2005,M,MANUEL,2735
2005,M,MARIO,2624
2005,M,RAUL,2460
2005,M,ANTONIO,2364
2005,M,RUBEN,2290
2005,M,VICTOR,2157
2005,M,MARC,2101
2005,M,JUAN,2039
2005,M,IKER,2001
2005,M,SAMUEL,1928
2005,M,ALEX,1922
2005,M,ALBERTO,1848
2005,M,JESUS,1774
2005,M,ANGEL,1762
2005,M,NICOLAS,1659
2005,M,FRANCISCO,1625
2005,M,OSCAR,1612
2005,M,JAIME,1611
2005,M,HECTOR,1599
2005,M,JOSE,1597
2005,M,PAU,1457
2005,M,ISMAEL,1362
2005,M,GUILLERMO,1313
2005,M,PEDRO,1298
2005,M,JOEL,1271
2005,M,IGNACIO,1263
2005,M,LUIS,1259
2005,M,MIGUEL ANGEL,1235
2005,M,GONZALO,1229
2005,M,IZAN,1211
2005,M,RAFAEL,1205
2005,M,GABRIEL,1184
2005,M,AARON,1090
2005,M,ANDRES,1049
2005,M,FERNANDO,1032
2005,M,FRANCISCO JAVIER,1031
2005,M,LUCAS,1025
2005,M,POL,1009
2005,M,JOSE ANTONIO,1000
2005,M,RODRIGO,997
2005,M,CRISTIAN,995
2005,M,JOSE MANUEL,941
2005,M,AITOR,901
2005,M,JOAN,895
2005,M,SANTIAGO,853
2005,M,MARTIN,833
2005,M,EDUARDO,830
2005,M,ARNAU,817
2005,M,ERIC,817
2005,M,ROBERTO,808
2005,M,UNAI,792
2005,M,ENRIQUE,772
2005,M,JORDI,732
2005,M,ASIER,706
2005,M,ADRIA,676
2005,M,MOHAMED,657
2005,M,JOSE LUIS,643
2005,M,JUAN JOSE,642
2005,M,SERGI,625
2005,M,JOSE MARIA,624
2005,M,MARCO,623
2005,M,GERARD,611
2005,M,JAN,577
2005,M,JUAN MANUEL,560
2005,M,ORIOL,553
2005,M,KEVIN,549
2005,M,CHRISTIAN,532
2005,M,YERAY,526
2005,M,JUAN CARLOS,515
2005,M,JUAN ANTONIO,511
2005,M,MATEO,499
2005,M,MARTI,495
2005,M,DARIO,484
2005,M,XAVIER,484
2005,M,GUILLEM,480
2005,M,JOAQUIN,464
2005,M,ISAAC,463
2005,M,ALEIX,456
2005,M,ANDER,436
2005,M,BRUNO,436
2005,M,ADAM,431
2005,M,JON,427
2005,M,MIKEL,425
2005,M,FRANCISCO JOSE,418
2005,M,AIMAR,412
2006,F,LUCIA,9174
2006,F,MARIA,7503
2006,F,PAULA,6322
2006,F,LAURA,4992
2006,F,CLAUDIA,4616
2006,F,IRENE,4412
2006,F,MARTA,4235
2006,F,ALBA,4161
2006,F,SARA,4068
2006,F,CARLA,3487
2006,F,ANDREA,3173
2006,F,NEREA,2849
2006,F,JULIA,2565
2006,F,NATALIA,2522
2006,F,ELENA,2505
2006,F,ANA,2495
2006,F,SOFIA,2475
2006,F,CARMEN,2288
2006,F,DANIELA,2233
2006,F,MARINA,1943
2006,F,CRISTINA,1857
2006,F,AINHOA,1826
2006,F,AITANA,1808
2006,F,ANGELA,1785
2006,F,ROCIO,1779
2006,F,INES,1605
2006,F,ALEJANDRA,1572
2006,F,NURIA,1422
2006,F,ADRIANA,1349
2006,F,SANDRA,1319
2006,F,CANDELA,1314
2006,F,LAIA,1300
2006,F,ARIADNA,1225
2006,F,MARTINA,1185
2006,F,CELIA,1177
2006,F,ALICIA,1134
2006,F,CLARA,1122
2006,F,AINARA,1097
2006,F,EVA,1085
2006,F,NOA,1085
2006,F,NOELIA,1057
2006,F,CARLOTA,1043
2006,F,MIRIAM,1028
2006,F,PATRICIA,1028
2006,F,BLANCA,1025
2006,F,ISABEL,987
2006,F,SILVIA,978
2006,F,RAQUEL,965
2006,F,LORENA,944
2006,F,CAROLINA,861
2006,F,JIMENA,838
2006,F,LIDIA,810
2006,F,AROA,782
2006,F,EMMA,782
2006,F,VALERIA,770
